date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:40:12	22276/22276	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2012:26:54%20GMT	https://pginbangalore.com/ABCPG/	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/index.html	(from )
14:40:12	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2009:10:20%20GMT	https://pginbangalore.com/robots.txt		(from )
14:40:13	1989/1989	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202025%2012:36:45%20GMT	https://pginbangalore.com/ABCPG/assets/img/heading-img.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/heading-img.png	(from https://pginbangalore.com/ABCPG/)
14:40:14	3352/3352	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:29:29%20GMT	https://pginbangalore.com/ABCPG/assets/css/owl.carousel.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/owl.carousel.min.css	(from https://pginbangalore.com/ABCPG/)
14:40:14	163894/163894	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:29:11%20GMT	https://pginbangalore.com/ABCPG/assets/css/bootstrap.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/bootstrap.min.css	(from https://pginbangalore.com/ABCPG/)
14:40:15	1013/1013	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:29:35%20GMT	https://pginbangalore.com/ABCPG/assets/css/owl.theme.default.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/owl.theme.default.min.css	(from https://pginbangalore.com/ABCPG/)
14:40:15	12795/12795	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:29:23%20GMT	https://pginbangalore.com/ABCPG/assets/css/jquery.fancybox.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/jquery.fancybox.min.css	(from https://pginbangalore.com/ABCPG/)
14:40:16	124583/124583	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:29:18%20GMT	https://pginbangalore.com/ABCPG/assets/css/fontawesome.min.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/fontawesome.min.css	(from https://pginbangalore.com/ABCPG/)
14:40:16	2839/2839	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:34:11%20GMT	https://pginbangalore.com/ABCPG/assets/font/flaticon_mycollection.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/font/flaticon_mycollection.css	(from https://pginbangalore.com/ABCPG/)
14:40:17	40343/40343	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:29:51%20GMT	https://pginbangalore.com/ABCPG/assets/css/style.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/style.css	(from https://pginbangalore.com/ABCPG/)
14:40:17	11016/11016	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Feb%202025%2012:29:46%20GMT	https://pginbangalore.com/ABCPG/assets/css/responsive.css	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/css/responsive.css	(from https://pginbangalore.com/ABCPG/)
14:40:17	22276/22276	---M-Z	200	added ('OK')	text/html	date:Fri,%2007%20Feb%202025%2012:26:54%20GMT	https://pginbangalore.com/ABCPG/index.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/index-2.html	(from https://pginbangalore.com/ABCPG/)
14:40:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2009:10:26%20GMT	https://pginbangalore.com/ABCPG/index-2.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/index-3.html	(from https://pginbangalore.com/ABCPG/)
14:40:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2009:10:26%20GMT	https://pginbangalore.com/ABCPG/index-3.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/index-4.html	(from https://pginbangalore.com/ABCPG/)
14:40:18	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Feb%202025%2009:10:26%20GMT	https://pginbangalore.com/ABCPG/index-4.html	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/index-5.html	(from https://pginbangalore.com/ABCPG/)
14:40:19	22959/22959	---M--	200	added ('OK')	image/jpeg	date:Fri,%2007%20Feb%202025%2012:36:40%20GMT	https://pginbangalore.com/ABCPG/assets/img/footer.jpg	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/footer.jpg	(from https://pginbangalore.com/ABCPG/)
14:40:19	1672/1672	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202025%2012:37:49%20GMT	https://pginbangalore.com/ABCPG/assets/img/shaps-4.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/shaps-4.png	(from https://pginbangalore.com/ABCPG/)
14:40:19	6808/6808	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202025%2012:37:07%20GMT	https://pginbangalore.com/ABCPG/assets/img/shaps-1.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/shaps-1.png	(from https://pginbangalore.com/ABCPG/)
14:40:19	2058/2058	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202025%2012:37:11%20GMT	https://pginbangalore.com/ABCPG/assets/img/shaps-2.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/shaps-2.png	(from https://pginbangalore.com/ABCPG/)
14:40:20	5975/5975	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202025%2012:37:44%20GMT	https://pginbangalore.com/ABCPG/assets/img/shaps-3.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/shaps-3.png	(from https://pginbangalore.com/ABCPG/)
14:40:20	12112/12112	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202025%2012:38:54%20GMT	https://pginbangalore.com/ABCPG/assets/img/amenities-icons/appliance_1198306.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/amenities-icons/appliance_1198306.png	(from https://pginbangalore.com/ABCPG/)
14:40:21	2004/2004	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2007%20Feb%202025%2012:39:27%20GMT	https://pginbangalore.com/ABCPG/assets/img/amenities-icons/wifi.svg	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/amenities-icons/wifi.svg	(from https://pginbangalore.com/ABCPG/)
14:40:21	30086/30086	---M--	200	added ('OK')	image/png	date:Fri,%2007%20Feb%202025%2012:38:57%20GMT	https://pginbangalore.com/ABCPG/assets/img/amenities-icons/chef-hat.png	C:/Users/anabi/OneDrive/Desktop/Gharpayy/ABC%20PG/pginbangalore.com/ABCPG/assets/img/amenities-icons/chef-hat.png	(from https://pginbangalore.com/ABCPG/)
